capital = 121
create_corps_commander = {
	name = "Bernard Gordon Lennox"
	picture = "Bernard_Charles_Gordon_Lennox.dds"
	traits = {combined_arms_expert panzer_leader }
	skill = 2
	id = 676
	attack_skill = 2
	defense_skill = 2
	planning_skill = 2
	logistics_skill = 1
}

create_corps_commander = {
	name = "Ronald Bramwell-Davis"
	picture = "Ronald_Bramwell-Davis.dds"
	traits = {skilled_staffer }
	skill = 2
	id = 677
	attack_skill = 1
	defense_skill = 2
	planning_skill = 2
	logistics_skill = 2
}

create_corps_commander = {
	name = "Henry Leask"
	picture = "Henry_Leask.dds"
	traits = {paratrooper commando }
	skill = 2
	id = 678
	attack_skill = 3
	defense_skill = 1
	planning_skill = 2
	logistics_skill = 1
}

create_corps_commander = {
	name = "Bill Speakman"
	picture = "Bill_Speakman.dds"
	traits = { }
	skill = 1
	id = 679
	attack_skill = 1
	defense_skill = 1
	planning_skill = 1
	logistics_skill = 1
}

create_corps_commander = {
	name = "Eric Miles"
	picture = "Eric_Grant_Miles.dds"
	traits = {old_guard }
	skill = 3
	id = 680
	attack_skill = 3
	defense_skill = 2
	planning_skill = 3
	logistics_skill = 2
}

create_corps_commander = {
	name = "Bernard Fergusson"
	picture = "Bernard_Fergusson.dds"
	traits = { }
	skill = 2
	id = 681
	attack_skill = 2
	defense_skill = 1
	planning_skill = 2
	logistics_skill = 2
}

create_corps_commander = {
	name = "Lorne Maclaine Campbell"
	picture = "Lorne_MacLaine_Campbell.dds"
	traits = {old_guard }
	skill = 3
	id = 682
	attack_skill = 3
	defense_skill = 2
	planning_skill = 2
	logistics_skill = 3
}

create_corps_commander = {
	name = "Derek Boileau Lang"
	picture = Sir_Derek_Lang.dds
	traits = {infantry_expert infantry_leader }
	skill = 3
	id = 683
	attack_skill = 2
	defense_skill = 2
	planning_skill = 3
	logistics_skill = 3
}

create_corps_commander = {
	name = "Alexander Boswell"
	picture = "Alexander_Boswell.dds"
	traits = {armor_officer panzer_expert panzer_leader }
	skill = 2
	id = 684
	attack_skill = 2
	defense_skill = 1
	planning_skill = 2
	logistics_skill = 2
}

create_country_leader = {
	name = "Robert Mcintyre"
	desc = "POLITICS_ROBERT_MCINTYRE_DESC"
	picture = "Robert_Mcintyre.dds"
	expire = "1975.1.1"
	ideology = social_liberal_subtype
	traits = {
	}
}

#create_country_leader = {
#	name = "John MacCormick"
#	desc = "POLITICS_JOHN_MACCORMICK_DESC"
#	picture = "Portrait_JohnMacCormick.dds"
#	expire = "1975.1.1"
#	ideology = social_liberal_subtype
#	traits = {
#	}
#}


create_country_leader = {
	name = "William Wolfe"
	desc = "POLITICS_WILLIAM_WOLFE_DESC"
	picture = "Portrait_SCO_William_Wolfe.dds"
	expire = "1975.1.1"
	ideology = social_democrat_subtype
	traits = {
	}
}

#create_country_leader = {
#	name = "Willie Ross"
#	desc = "POLITICS_WILLIE_ROSS_DESC"
#	picture = "Willie_Ross.dds"
#	expire = "1975.1.1"
#	ideology = social_democrat_subtype
#	traits = {
#	}
#}

create_country_leader = {
	name = "Priscilla Buchan"
	desc = "POLITICS_PRISCILLA_BUCHAN_DESC"
	picture = "Priscilla_Buchan.dds"
	expire = "1975.1.1"
	ideology = social_conservative_subtype
	traits = {
	}
}

add_opinion_modifier = { target = GER modifier = embargo }


if = {
	limit = {
		has_dlc = "Man the Guns"
	}
	set_technology = {
		early_ship_hull_very_light = 1
	    basic_ship_hull_very_light = 1 
	    early_ship_hull_more_light = 1
	    basic_ship_hull_more_light = 1
	    early_ship_hull_light = 1
	    basic_ship_hull_light = 1
	    basic_depth_charges = 1
	    sonar = 1
	    early_ship_hull_submarine = 1
    	basic_battery = 1
    	basic_secondary_battery = 1
	    basic_torpedo = 1
	    mtg_transport = 1
	    basic_naval_mines = 1
	    improved_naval_mines = 1
	    submarine_mine_laying = 1
	    basic_ship_hull_submarine = 1
	}
	set_naval_oob = "SCO_1962_naval"
}

if = {
	limit = {
		NOT = {
			has_dlc = "Man the Guns"
		}
	}
	set_naval_oob = "SCO_1962_naval_non_mtg"
}



if = {
	limit = {
		has_dlc = "Man the Guns"
	}

	create_equipment_variant = {
		name = "Illustrious Class"
		type = ship_hull_carrier_1
		name_group = GER_DD_HISTORICAL
		parent_version = 0
		modules = {
			fixed_ship_deck_slot_1 = ship_deck_space
			fixed_ship_deck_slot_2 = ship_deck_space
			fixed_ship_anti_air_slot = ship_anti_air_3
			fixed_ship_radar_slot = ship_radar_3
			fixed_ship_engine_slot = carrier_ship_engine_2
			fixed_ship_secondaries_slot = ship_secondaries_2
			front_1_custom_slot = ship_deck_space
    	}
	}

	create_equipment_variant = {
		name = "Unicorn Class"
		type = ship_hull_carrier_1
		name_group = GER_DD_HISTORICAL
		parent_version = 0
		modules = {
			fixed_ship_deck_slot_1 = ship_deck_space
			fixed_ship_deck_slot_2 = ship_deck_space
			fixed_ship_anti_air_slot = ship_anti_air_3
			fixed_ship_radar_slot = ship_radar_3
			fixed_ship_engine_slot = carrier_ship_engine_2
			fixed_ship_secondaries_slot = ship_secondaries_2
			front_1_custom_slot = ship_deck_space

    	}
	}

	create_equipment_variant = {
		name = "County Class"
		type = heavy_cruiser_2
		name_group = GER_DD_HISTORICAL
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_medium_battery_2
			fixed_ship_anti_air_slot = ship_anti_air_3
			fixed_ship_fire_control_system_slot = ship_fire_control_system_2
			fixed_ship_radar_slot = ship_radar_2
			fixed_ship_engine_slot = cruiser_ship_engine_2
			fixed_ship_secondaries_slot = ship_secondaries_2
			fixed_ship_armor_slot = ship_armor_cruiser_2
			mid_1_custom_slot = ship_secondaries_2
			front_1_custom_slot = ship_anti_air_3
			mid_2_custom_slot = ship_anti_air_3
			rear_1_custom_slot = ship_medium_battery_2
			rear_2_custom_slot = ship_anti_air_3

    	}
	}

	create_equipment_variant = {
		name = "Fiji Class"
		type = light_cruiser_3
		name_group = GER_DD_HISTORICAL
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_light_medium_battery_3
			fixed_ship_anti_air_slot = ship_anti_air_3
			fixed_ship_fire_control_system_slot = ship_fire_control_system_3
			fixed_ship_radar_slot = ship_radar_3
			fixed_ship_engine_slot = cruiser_ship_engine_2
			fixed_ship_secondaries_slot = ship_secondaries_2
			fixed_ship_armor_slot = ship_armor_cruiser_2
			front_1_custom_slot = ship_light_medium_battery_3
			mid_1_custom_slot = ship_secondaries_2
			#mid_2_custom_slot = ship_anti_air_3
			rear_1_custom_slot = ship_light_medium_battery_3
    	}
	}


	create_equipment_variant = {
		name = "Minotaur Class"
		type = light_cruiser_3
		name_group = GER_DD_HISTORICAL
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_light_medium_battery_3
			fixed_ship_anti_air_slot = ship_anti_air_3
			fixed_ship_fire_control_system_slot = ship_fire_control_system_3
			fixed_ship_radar_slot = ship_radar_3
			fixed_ship_engine_slot = cruiser_ship_engine_2
			fixed_ship_secondaries_slot = ship_secondaries_2
			fixed_ship_armor_slot = ship_armor_cruiser_2
			front_1_custom_slot = ship_light_medium_battery_3
			mid_1_custom_slot = ship_torpedo_3
			#mid_2_custom_slot = ship_anti_air_3
			rear_1_custom_slot = ship_light_medium_battery_3
    	}
	}


	create_equipment_variant = {
		name = "Uganda Class"
		type = light_cruiser_4
		name_group = GER_DD_HISTORICAL
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_light_medium_battery_4
			fixed_ship_anti_air_slot = ship_anti_air_3
			fixed_ship_fire_control_system_slot = ship_fire_control_system_3
			fixed_ship_radar_slot = ship_radar_3
			fixed_ship_engine_slot = cruiser_ship_engine_2
			fixed_ship_secondaries_slot = ship_secondaries_2
			fixed_ship_armor_slot = ship_armor_cruiser_2
			front_1_custom_slot = ship_light_medium_battery_3
			mid_1_custom_slot = ship_torpedo_3
			#mid_2_custom_slot = ship_anti_air_3
			rear_1_custom_slot = ship_light_medium_battery_2
    	}
	}


	create_equipment_variant = {
		name = "WW2 Era Destroyer"
		type = ship_hull_light_1
		name_group = ENG_DD_HISTORICAL
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_light_battery_2
			fixed_ship_anti_air_slot = ship_anti_air_3
			fixed_ship_fire_control_system_slot = ship_fire_control_system_2
			fixed_ship_radar_slot = ship_radar_2
			fixed_ship_engine_slot = light_ship_engine_1
			fixed_ship_torpedo_slot = ship_torpedo_2
			mid_1_custom_slot = ship_anti_air_3
			rear_1_custom_slot = ship_light_battery_2
    	}
	}

	create_equipment_variant = {
		name = "S Class"
		type = ship_hull_submarine_2
		name_group = GER_SS_HISTORICAL
		parent_version = 0
		modules = {
			fixed_ship_engine_slot = light_ship_engine_2
			fixed_ship_torpedo_slot = ship_torpedo_sub_2
			rear_1_custom_slot = ship_torpedo_sub_2
    	}
	}
}

country_event = { id = sco_flavor.1 days = 905 }
country_event = { id = sco_flavor.2 days = 465 }
country_event = { id = sco_flavor.4 days = 1030 }
country_event = { id = sco_flavor.5 days = 260 }
country_event = { id = sco_flavor.6 days = 125 }
country_event = { id = sco_flavor.9 days = 531 }
country_event = { id = sco_flavor.10 days = 379 }
country_event = { id = sco_flavor.11 days = 335 }
country_event = { id = sco_flavor.12 days = 679 }
country_event = { id = sco_flavor.13 days = 81 }
country_event = { id = sco_flavor.14 days = 56 }
country_event = { id = SCO.2650 days = 904 }
